Time,Source,Destination,Protocol,Length
1775492792.9733167,192.168.31.42,20.189.173.25,6,690
1775492792.9733167,192.168.31.42,20.189.173.25,6,690
1775492793.1008139,192.168.31.42,224.0.0.22,2,54
1775492793.1018152,192.168.31.42,224.0.0.22,2,54
1775492793.1811054,20.189.173.25,192.168.31.42,6,54
1775492793.1811054,20.189.173.25,192.168.31.42,6,54
1775492793.1861033,20.189.173.25,192.168.31.42,6,54
1775492793.1861033,20.189.173.25,192.168.31.42,6,54
1775492793.1906374,20.189.173.25,192.168.31.42,6,54
1775492793.1906374,20.189.173.25,192.168.31.42,6,54
1775492793.1906374,20.189.173.25,192.168.31.42,6,66
1775492793.1906374,20.189.173.25,192.168.31.42,6,66
1775492793.2007282,20.189.173.25,192.168.31.42,6,66
1775492793.2017262,20.189.173.25,192.168.31.42,6,66
1775492793.2057242,20.189.173.25,192.168.31.42,6,150
1775492793.208725,20.189.173.25,192.168.31.42,6,150
1775492793.2517004,192.168.31.42,20.189.173.25,6,54
1775492793.2506986,192.168.31.42,20.189.173.25,6,54
1775492793.3732688,192.168.31.124,255.255.255.255,17,262
1775492793.6024494,192.168.31.42,224.0.0.22,2,54
1775492794.3534682,192.168.31.42,239.255.255.250,17,179
1775492794.3534682,192.168.31.42,239.255.255.250,17,179
1775492795.1519513,192.168.31.42,20.189.173.25,6,167
1775492795.1519513,192.168.31.42,20.189.173.25,6,167
1775492795.1519513,192.168.31.42,20.189.173.25,6,1336
1775492795.1519513,192.168.31.42,20.189.173.25,6,1336
1775492795.168993,192.168.31.42,20.189.173.25,6,1336
1775492795.168993,192.168.31.42,20.189.173.25,6,1336
1775492795.1719913,192.168.31.42,20.189.173.25,6,1336
1775492795.1739917,192.168.31.42,20.189.173.25,6,1336
1775492795.1769922,192.168.31.42,20.189.173.25,6,1336
1775492795.1793962,192.168.31.42,20.189.173.25,6,1336
1775492795.1847515,192.168.31.42,20.189.173.25,6,1336
1775492795.1867492,192.168.31.42,20.189.173.25,6,1336
1775492795.1907494,192.168.31.42,20.189.173.25,6,1336
1775492795.1967487,192.168.31.42,20.189.173.25,6,1336
1775492795.1967487,192.168.31.42,20.189.173.25,6,1336
1775492795.2017498,192.168.31.42,20.189.173.25,6,1336
1775492795.2017498,192.168.31.42,20.189.173.25,6,1336
1775492795.2057495,192.168.31.42,20.189.173.25,6,1336
1775492795.2067509,192.168.31.42,20.189.173.25,6,1336
1775492795.2097518,192.168.31.42,20.189.173.25,6,521
1775492795.214494,192.168.31.42,20.189.173.25,6,521
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.40189,20.189.173.25,192.168.31.42,6,66
1775492795.4186883,20.189.173.25,192.168.31.42,6,66
1775492795.4186883,20.189.173.25,192.168.31.42,6,54
1775492795.4186883,20.189.173.25,192.168.31.42,6,54
1775492795.4186883,20.189.173.25,192.168.31.42,6,66
1775492795.4186883,20.189.173.25,192.168.31.42,6,66
1775492795.435554,20.189.173.25,192.168.31.42,6,66
1775492795.435554,20.189.173.25,192.168.31.42,6,66
1775492795.4366531,20.189.173.25,192.168.31.42,6,66
1775492795.4366531,20.189.173.25,192.168.31.42,6,66
1775492795.4366531,20.189.173.25,192.168.31.42,6,66
1775492795.4366531,20.189.173.25,192.168.31.42,6,66
1775492795.4512026,20.189.173.25,192.168.31.42,6,66
1775492795.4512026,20.189.173.25,192.168.31.42,6,66
1775492795.4531684,20.189.173.25,192.168.31.42,6,66
1775492795.4531684,20.189.173.25,192.168.31.42,6,66
